ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,size_range_minimum_g,size_range_maximum_g,size_range_minimum_micrometers,size_range_maximum_micrometers,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST,primprod,salinity,O2_dissolved,pH,chla,nitrate,silicate,SST_C_insitu,Temperature__C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m_3_insitu,Nitrate__uM_L_1_insitu,g_C_individual,5.68E-14,1.14E-13,2.27E-13,4.55E-13,9.09E-13,1.82E-12,3.64E-12,7.28E-12,1.46E-11,2.91E-11,5.82E-11,1.16E-10,2.33E-10,4.66E-10,9.31E-10,0.00000000186,0.00000000373,0.00000000745,0.0000000149,0.0000000298,0.0000000596,0.000000119,0.000000238,0.000000477,0.000000954,0.00000191,0.00000381,0.00000763,0.0000153,0.0000305,0.000061,0.000122,0.000244,0.000488,0.000977,0.00195,0.00391,0.00781,0.0156,0.0313,0.0625,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,1020,NBSS_slope,Comment
#REF!,M106-1,337-10,M106-1_mn08_n2,25.04.14,-21.208,11.01,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,715.805176,35,4,8.2,0.044337,0.847682,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,337-10,M106-1_mn08_n3,25.04.14,-21.208,11.01,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,715.805176,35,4,8.2,0.044337,0.847682,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,337-10,M106-1_mn08_n4,25.04.14,-21.208,11.01,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,715.805176,35,4,8.2,0.044337,0.847682,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,337-10,M106-1_mn08_n5,25.04.14,-21.208,11.01,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,715.805176,35,4,8.2,0.044337,0.847682,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,340-1,M106-1_mn09_n1,26.04.14,-23,9,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26.09021,457.193176,35,4,8.208997,0.036218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,340-1,M106-1_mn09_n2,26.04.14,-23,9,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26.09021,457.193176,35,4,8.208997,0.036218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,340-1,M106-1_mn09_n3,26.04.14,-23,9,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26.09021,457.193176,35,4,8.208997,0.036218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,340-1,M106-1_mn09_n4,26.04.14,-23,9,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26.09021,457.193176,35,4,8.208997,0.036218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,340-1,M106-1_mn09_n5,26.04.14,-23,9,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26.09021,457.193176,35,4,8.208997,0.036218,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,344-2,M106-1_mn10_n1,27.04.14,-22.979,6.979,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,27,407.87738,35,4,8.225721,0.036937,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,344-2,M106-1_mn10_n2,27.04.14,-22.979,6.979,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,27,407.87738,35,4,8.225721,0.036937,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,344-2,M106-1_mn10_n3,27.04.14,-22.979,6.979,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,27,407.87738,35,4,8.225721,0.036937,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,344-2,M106-1_mn10_n4,27.04.14,-22.979,6.979,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,27,407.87738,35,4,8.225721,0.036937,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,344-2,M106-1_mn10_n5,27.04.14,-22.979,6.979,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,27,407.87738,35,4,8.225721,0.036937,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-5,M106-1_mn11_n1,29.04.14,-22.99983,5.0165,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,27,390.245178,35,4,8.232954,0.036892,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-5,M106-1_mn11_n2,29.04.14,-22.99983,5.0165,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,27,390.245178,35,4,8.232954,0.036892,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-5,M106-1_mn11_n3,29.04.14,-22.99983,5.0165,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,27,390.245178,35,4,8.232954,0.036892,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-5,M106-1_mn11_n4,29.04.14,-22.99983,5.0165,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,27,390.245178,35,4,8.232954,0.036892,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-5,M106-1_mn11_n5,29.04.14,-22.99983,5.0165,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,27,390.245178,35,4,8.232954,0.036892,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-9,M106-1_mn12_n1,30.04.14,-22.983,5.025,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,27,390.170929,35,4,8.232734,0.036947,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-9,M106-1_mn12_n2,30.04.14,-22.983,5.025,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,27,390.170929,35,4,8.232734,0.036947,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-9,M106-1_mn12_n3,30.04.14,-22.983,5.025,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,27,390.170929,35,4,8.232734,0.036947,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-9,M106-1_mn12_n4,30.04.14,-22.983,5.025,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,27,390.170929,35,4,8.232734,0.036947,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,352-9,M106-1_mn12_n5,30.04.14,-22.983,5.025,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,27,390.170929,35,4,8.232734,0.036947,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,357-2,M106-1_mn13_n1,01.05.14,-23,3.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,27,397.078583,35,4,8.225445,0.0377,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,357-2,M106-1_mn13_n2,01.05.14,-23,3.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,27,397.078583,35,4,8.225445,0.0377,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,357-2,M106-1_mn13_n3,01.05.14,-23,3.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,27,397.078583,35,4,8.225445,0.0377,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,357-2,M106-1_mn13_n4,01.05.14,-23,3.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,27,397.078583,35,4,8.225445,0.0377,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,357-2,M106-1_mn13_n5,01.05.14,-23,3.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,27,397.078583,35,4,8.225445,0.0377,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,363-1,M106-1_mn14_n1,02.05.14,-23.001,1.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26.337275,456.104828,35,4,8.21605,0.043503,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,363-1,M106-1_mn14_n2,02.05.14,-23.001,1.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26.337275,456.104828,35,4,8.21605,0.043503,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,363-1,M106-1_mn14_n3,02.05.14,-23.001,1.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26.337275,456.104828,35,4,8.21605,0.043503,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,363-1,M106-1_mn14_n4,02.05.14,-23.001,1.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26.337275,456.104828,35,4,8.21605,0.043503,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,363-1,M106-1_mn14_n5,02.05.14,-23.001,1.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26.337275,456.104828,35,4,8.21605,0.043503,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,366-3,M106-1_mn15_n1,03.05.14,-23.017,0.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,483.174683,35,4,8.211952,0.045929,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,366-3,M106-1_mn15_n2,03.05.14,-23.017,0.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,483.174683,35,4,8.211952,0.045929,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,366-3,M106-1_mn15_n3,03.05.14,-23.017,0.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,483.174683,35,4,8.211952,0.045929,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,366-3,M106-1_mn15_n4,03.05.14,-23.017,0.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,483.174683,35,4,8.211952,0.045929,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,366-3,M106-1_mn15_n5,03.05.14,-23.017,0.001,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,483.174683,35,4,8.211952,0.045929,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,367-1,M106-1_mn16_n1,03.05.14,-23.001,0.167,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,477.742188,35,4,8.212486,0.046076,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,367-1,M106-1_mn16_n2,03.05.14,-23.001,0.167,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,477.742188,35,4,8.212486,0.046076,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,367-1,M106-1_mn16_n3,03.05.14,-23.001,0.167,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,477.742188,35,4,8.212486,0.046076,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,367-1,M106-1_mn16_n4,03.05.14,-23.001,0.167,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,477.742188,35,4,8.212486,0.046076,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,367-1,M106-1_mn16_n5,03.05.14,-23.001,0.167,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,477.742188,35,4,8.212486,0.046076,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,368-2,M106-1_mn17_n1,04.05.14,-22.991,-0.166,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,490.658813,35,4,8.210941,0.045783,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,368-2,M106-1_mn17_n2,04.05.14,-22.991,-0.166,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,490.658813,35,4,8.210941,0.045783,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,368-2,M106-1_mn17_n3,04.05.14,-22.991,-0.166,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,490.658813,35,4,8.210941,0.045783,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,368-2,M106-1_mn17_n4,04.05.14,-22.991,-0.166,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,490.658813,35,4,8.210941,0.045783,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,368-2,M106-1_mn17_n5,04.05.14,-22.991,-0.166,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,490.658813,35,4,8.210941,0.045783,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,369-1,M106-1_mn18_n1,04.05.14,-23.015,0,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,483.313385,35,4,8.211944,0.045935,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,369-1,M106-1_mn18_n2,04.05.14,-23.015,0,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,483.313385,35,4,8.211944,0.045935,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,369-1,M106-1_mn18_n3,04.05.14,-23.015,0,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,483.313385,35,4,8.211944,0.045935,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,369-1,M106-1_mn18_n4,04.05.14,-23.015,0,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,483.313385,35,4,8.211944,0.045935,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,369-1,M106-1_mn18_n5,04.05.14,-23.015,0,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,483.313385,35,4,8.211944,0.045935,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,374-2,M106-1_mn19_n1,05.05.14,-22.999,-0.999,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,448.914307,36,4,8.207997,0.04336,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,374-2,M106-1_mn19_n2,05.05.14,-22.999,-0.999,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,448.914307,36,4,8.207997,0.04336,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,374-2,M106-1_mn19_n3,05.05.14,-22.999,-0.999,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,448.914307,36,4,8.207997,0.04336,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,374-2,M106-1_mn19_n4,05.05.14,-22.999,-0.999,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,448.914307,36,4,8.207997,0.04336,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,374-2,M106-1_mn19_n5,05.05.14,-22.999,-0.999,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,448.914307,36,4,8.207997,0.04336,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,380-2,M106-1_mn20_n1,06.05.14,-23,-3,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,397.868317,36,4,8.203979,0.035134,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,380-2,M106-1_mn20_n2,06.05.14,-23,-3,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,397.868317,36,4,8.203979,0.035134,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,380-2,M106-1_mn20_n3,06.05.14,-23,-3,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,397.868317,36,4,8.203979,0.035134,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,380-2,M106-1_mn20_n4,06.05.14,-23,-3,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,397.868317,36,4,8.203979,0.035134,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,380-2,M106-1_mn20_n5,06.05.14,-23,-3,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,397.868317,36,4,8.203979,0.035134,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,385-2,M106-1_mn21_n1,08.05.14,-23,-5,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,365.790131,36,4,8.207829,0.033847,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,385-2,M106-1_mn21_n2,08.05.14,-23,-5,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,365.790131,36,4,8.207829,0.033847,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,385-2,M106-1_mn21_n3,08.05.14,-23,-5,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,300,200,Estimated from Biovolume,Rainer Kiko,,,26,365.790131,36,4,8.207829,0.033847,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,385-2,M106-1_mn21_n4,08.05.14,-23,-5,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,200,100,Estimated from Biovolume,Rainer Kiko,,,26,365.790131,36,4,8.207829,0.033847,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,385-2,M106-1_mn21_n5,08.05.14,-23,-5,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,100,0,Estimated from Biovolume,Rainer Kiko,,,26,365.790131,36,4,8.207829,0.033847,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,389-2,M106-1_mn22_n1,09.05.14,-23,-7,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,1000,600,Estimated from Biovolume,Rainer Kiko,,,26,286.499603,36,4,8.212944,0.029217,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M106-1,389-2,M106-1_mn22_n2,09.05.14,-23,-7,zooplankton,3,Multinet Midi,multiple opening-closing devices,,,200,,600,300,Estimated from Biovolume,Rainer Kiko,,,26,286.499603,36,4,8.212944,0.029217,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
